# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,7.666e-5,0.015,1.535,0.015,1.535,0,0,0,0,0,0,28.61,-80.6,9.792,89.575,0,0,0,3.537e4,1.113e4,34.905,0.112,NaN,228.972,NaN,0.006,5.099e5,400.605,3.338e-8,0.611,6.24e-7,0.482,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.963e-6,16.129,204.317,90,0,2.068,15,1013.25,340.389,0.01,0.002
0.02,0.001,0.257,24.193,0.257,24.193,0,0,0,0,0,0,28.61,-80.6,9.792,82.95,0,0,0,3.536e4,1.113e4,34.898,0.112,NaN,228.955,NaN,0.006,5.169e5,1201.794,1.456e-4,0.61,0.003,0.48,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.294e-5,16.129,204.317,90,0,2.08,15,1013.25,340.389,0.01,0.003
0.03,0.006,0.726,46.86,0.726,46.86,0,0,0,0,0,0,28.61,-80.6,9.792,70.87,0,0,0,3.536e4,1.112e4,34.892,0.112,NaN,228.938,NaN,0.007,5.462e5,2002.983,0.003,0.604,0.045,0.475,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.293e-5,16.129,204.317,90,0,2.092,15,1013.249,340.389,0.01,0.004
0.04,0.017,1.309,58.324,1.309,58.324,0,0,0,0,0,0,28.61,-80.6,9.792,58.124,0,0,0,3.534e4,1.111e4,34.879,0.112,NaN,228.903,NaN,0.007,6.113e5,2407.436,0.013,0.593,0.173,0.463,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.676e-4,16.129,204.317,90,0,2.105,15,1013.248,340.389,0.01,0.004
0.05,0.033,1.894,58.566,1.894,58.566,0,0,0,0,0,0,28.61,-80.6,9.792,48.178,0,0,0,3.533e4,1.11e4,34.867,0.112,NaN,228.868,NaN,0.008,7.006e5,2415.154,0.033,0.58,0.323,0.451,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.426e-4,16.129,204.317,90,0,2.117,15,1013.246,340.389,0.01,0.005
0.06,0.054,2.482,58.808,2.482,58.808,0,0,0,0,0,0,28.61,-80.6,9.792,40.502,0,0,0,3.532e4,1.108e4,34.854,0.111,NaN,228.833,NaN,0.01,8.051e5,2422.871,0.06,0.567,0.452,0.438,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.178e-4,16.129,204.317,90,0,2.12,15,1013.244,340.389,0.01,0.005
0.07,0.082,3.073,59.049,3.073,59.049,0,0,0,0,0,0,28.61,-80.6,9.792,34.648,0,0,0,3.531e4,1.107e4,34.841,0.111,NaN,228.798,NaN,0.011,9.211e5,2430.572,0.095,0.556,0.543,0.426,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.934e-4,16.129,204.317,90,0,2.124,14.999,1013.24,340.389,0.01,0.005
0.08,0.116,3.666,59.291,3.666,59.291,0,0,0,0,0,0,28.61,-80.6,9.792,30.122,0,0,0,3.529e4,1.106e4,34.829,0.111,NaN,228.763,NaN,0.012,1.045e6,2438.256,0.135,0.545,0.602,0.416,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.693e-4,16.129,204.317,90,0,2.127,14.999,1013.236,340.388,0.01,0.006
0.09,0.156,4.261,59.532,4.261,59.532,0,0,0,0,0,0,28.61,-80.6,9.792,26.56,0,0,0,3.528e4,1.105e4,34.816,0.111,NaN,228.728,NaN,0.014,1.175e6,2445.941,0.181,0.536,0.637,0.406,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.455e-4,16.129,204.317,90,0,2.13,14.999,1013.232,340.388,0.01,0.006
0.1,0.201,4.858,59.773,4.858,59.773,0,0,0,0,0,0,28.61,-80.6,9.792,23.704,0,0,0,3.527e4,1.103e4,34.803,0.111,NaN,228.692,NaN,0.016,1.309e6,2453.607,0.231,0.527,0.655,0.398,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.22e-4,16.129,204.317,90,0,2.133,14.999,1013.226,340.388,0.01,0.006
