# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,1.403e-4,0.028,2.807,0.028,2.807,0,0,0,0,0,0,33,107,9.791,89.741,0,0,0,3.378e4,1.045e4,32.365,0.113,NaN,223.089,NaN,0.019,1.37e6,425.502,5.103e-8,0.524,1.213e-7,0.394,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.432e-6,16.129,204.317,90,0,6.207,5.896,856.138,334.872,0.01,0.013
0.02,0.002,0.308,28.008,0.308,28.008,0,0,0,0,0,0,33,107,9.791,87.181,0,0,0,3.377e4,1.044e4,32.36,0.113,NaN,223.074,NaN,0.019,1.383e6,1276.487,6.518e-5,0.523,1.521e-4,0.394,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.769e-5,16.129,204.317,90,0,6.258,5.896,856.138,334.872,0.01,0.015
0.03,0.008,0.84,53.218,0.84,53.218,0,0,0,0,0,0,33,107,9.791,82.413,0,0,0,3.376e4,1.044e4,32.355,0.113,NaN,223.058,NaN,0.019,1.405e6,2127.472,0.001,0.522,0.003,0.392,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.028e-4,16.129,204.317,90,0,6.308,5.896,856.137,334.872,0.01,0.016
0.04,0.019,1.5,65.991,1.5,65.991,0,0,0,0,0,0,33,107,9.791,76.727,0,0,0,3.375e4,1.043e4,32.344,0.113,NaN,223.028,NaN,0.02,1.442e6,2557.891,0.007,0.52,0.014,0.39,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.835e-4,16.129,204.317,90,0,6.359,5.896,856.136,334.872,0.01,0.018
0.05,0.038,2.163,66.308,2.163,66.308,0,0,0,0,0,0,33,107,9.791,71.352,0,0,0,3.374e4,1.041e4,32.333,0.113,NaN,222.997,NaN,0.02,1.493e6,2567.746,0.018,0.517,0.036,0.388,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.646e-4,16.129,204.317,90,0,6.409,5.896,856.134,334.872,0.01,0.019
0.06,0.063,2.829,66.624,2.829,66.624,0,0,0,0,0,0,33,107,9.791,66.206,0,0,0,3.373e4,1.04e4,32.323,0.113,NaN,222.966,NaN,0.021,1.548e6,2577.601,0.038,0.515,0.07,0.385,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.46e-4,16.129,204.317,90,0,6.416,5.896,856.131,334.872,0.01,0.021
0.07,0.094,3.498,66.941,3.498,66.941,0,0,0,0,0,0,33,107,9.791,61.425,0,0,0,3.372e4,1.039e4,32.312,0.112,NaN,222.935,NaN,0.022,1.614e6,2587.467,0.066,0.512,0.113,0.382,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.279e-4,16.129,204.317,90,0,6.423,5.896,856.128,334.872,0.01,0.022
0.08,0.133,4.171,67.259,4.171,67.259,0,0,0,0,0,0,33,107,9.791,57.031,0,0,0,3.371e4,1.038e4,32.301,0.112,NaN,222.904,NaN,0.023,1.692e6,2597.344,0.103,0.508,0.161,0.379,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.102e-4,16.129,204.317,90,0,6.43,5.896,856.124,334.872,0.01,0.023
0.09,0.178,4.846,67.576,4.846,67.576,0,0,0,0,0,0,33,107,9.791,53.024,0,0,0,3.37e4,1.037e4,32.291,0.112,NaN,222.873,NaN,0.024,1.778e6,2607.222,0.15,0.505,0.212,0.375,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.928e-4,16.129,204.317,90,0,6.437,5.895,856.119,334.871,0.01,0.024
0.1,0.229,5.525,67.894,5.525,67.894,0,0,0,0,0,0,33,107,9.791,49.39,0,0,0,3.369e4,1.036e4,32.28,0.112,NaN,222.841,NaN,0.025,1.874e6,2617.11,0.206,0.501,0.261,0.372,0.009,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.758e-4,16.129,204.317,90,0,6.444,5.895,856.114,334.871,0.01,0.025
