# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,7.315e-5,0.015,1.464,0.015,1.464,0,0,0,0,0,0,33,107,9.791,89.79,0,0,0,3.819e4,5837.253,59.032,0.129,NaN,255.91,NaN,0.011,8.727e5,429.891,1.342e-8,0.686,8.431e-8,0.552,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.79e-6,16.129,204.317,90,0,3.999,30.109,848.11,349.545,0.01,0.002
0.02,0.001,0.254,23.98,0.254,23.98,0,0,0,0,0,0,33,107,9.791,86.377,0,0,0,3.819e4,5830.95,59.023,0.129,NaN,255.891,NaN,0.012,8.788e5,1289.653,6.762e-5,0.685,4.191e-4,0.552,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.112e-5,16.129,204.317,90,0,4.018,30.109,848.11,349.545,0.01,0.003
0.03,0.006,0.719,46.504,0.719,46.504,0,0,0,0,0,0,33,107,9.791,79.899,0,0,0,3.818e4,5824.646,59.015,0.129,NaN,255.872,NaN,0.012,8.953e5,2149.415,0.001,0.683,0.008,0.549,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.799e-5,16.129,204.317,90,0,4.038,30.109,848.11,349.545,0.01,0.004
0.04,0.016,1.298,57.891,1.298,57.891,0,0,0,0,0,0,33,107,9.791,72.261,0,0,0,3.817e4,5811.98,58.997,0.129,NaN,255.833,NaN,0.012,9.3e5,2583.314,0.007,0.679,0.041,0.545,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.588e-4,16.129,204.317,90,0,4.058,30.109,848.11,349.545,0.01,0.004
0.05,0.032,1.879,58.123,1.879,58.123,0,0,0,0,0,0,33,107,9.791,65.259,0,0,0,3.816e4,5799.314,58.979,0.129,NaN,255.795,NaN,0.013,9.801e5,2591.349,0.02,0.673,0.102,0.54,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.299e-4,16.129,204.317,90,0,4.078,30.108,848.11,349.545,0.01,0.005
0.06,0.054,2.463,58.356,2.463,58.356,0,0,0,0,0,0,33,107,9.791,58.504,0,0,0,3.814e4,5786.648,58.961,0.129,NaN,255.756,NaN,0.013,1.029e6,2599.384,0.042,0.668,0.189,0.534,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.012e-4,16.129,204.317,90,0,4.019,30.108,848.109,349.545,0.01,0.006
0.07,0.082,3.049,58.588,3.049,58.588,0,0,0,0,0,0,33,107,9.791,52.415,0,0,0,3.813e4,5773.864,58.943,0.129,NaN,255.717,NaN,0.014,1.091e6,2607.393,0.072,0.662,0.288,0.528,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.729e-4,16.129,204.317,90,0,3.961,30.108,848.109,349.545,0.01,0.006
0.08,0.115,3.637,58.819,3.637,58.819,0,0,0,0,0,0,33,107,9.791,47.016,0,0,0,3.812e4,5761.081,58.925,0.129,NaN,255.678,NaN,0.015,1.164e6,2615.377,0.11,0.655,0.388,0.522,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.448e-4,16.129,204.317,90,0,3.902,30.108,848.108,349.545,0.01,0.007
0.09,0.154,4.227,59.051,4.227,59.051,0,0,0,0,0,0,33,107,9.791,42.278,0,0,0,3.81e4,5748.297,58.908,0.129,NaN,255.639,NaN,0.016,1.247e6,2623.361,0.156,0.648,0.48,0.515,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.17e-4,16.129,204.317,90,0,3.843,30.108,848.107,349.545,0.01,0.008
0.1,0.2,4.82,59.282,4.82,59.282,0,0,0,0,0,0,33,107,9.791,38.14,0,0,0,3.809e4,5735.397,58.889,0.129,NaN,255.6,NaN,0.018,1.337e6,2631.319,0.209,0.641,0.559,0.508,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.895e-4,16.129,204.317,90,0,3.785,30.108,848.106,349.544,0.01,0.009
