Time,0mm,10mm,20mm,30mm,40mm,50mm,60mm,70mm
0.01,0.524,0.588,0.652,0.725,0.796,0.85,0.939,0.995
0.02,0.523,0.587,0.652,0.725,0.797,0.85,0.938,0.993
0.03,0.522,0.585,0.652,0.725,0.797,0.849,0.936,0.991
0.04,0.52,0.583,0.651,0.724,0.796,0.848,0.933,0.988
0.05,0.517,0.58,0.649,0.722,0.795,0.846,0.93,0.985
0.06,0.515,0.578,0.646,0.72,0.792,0.844,0.927,0.984
0.07,0.512,0.575,0.643,0.716,0.788,0.842,0.924,0.982
0.08,0.508,0.572,0.64,0.713,0.784,0.839,0.921,0.979
0.09,0.505,0.568,0.637,0.709,0.78,0.836,0.917,0.976
0.1,0.501,0.565,0.633,0.705,0.776,0.833,0.913,0.973
0.11,0.498,0.561,0.63,0.701,0.772,0.83,0.909,0.97
0.12,0.495,0.558,0.627,0.697,0.769,0.827,0.904,0.966
0.13,0.491,0.554,0.624,0.693,0.765,0.824,0.9,0.963
0.14,0.488,0.551,0.621,0.69,0.761,0.821,0.896,0.959
0.15,0.485,0.548,0.618,0.686,0.758,0.818,0.892,0.956
0.16,0.481,0.545,0.615,0.683,0.754,0.816,0.888,0.953
0.17,0.478,0.542,0.612,0.68,0.751,0.813,0.885,0.949
0.18,0.475,0.54,0.609,0.677,0.747,0.81,0.881,0.946
0.19,0.472,0.537,0.607,0.674,0.744,0.808,0.878,0.943
0.2,0.469,0.536,0.604,0.671,0.741,0.806,0.875,0.942
0.21,0.468,0.536,0.604,0.671,0.739,0.806,0.874,0.942
0.22,0.468,0.535,0.603,0.671,0.739,0.806,0.874,0.941
0.23,0.468,0.535,0.603,0.67,0.738,0.806,0.873,0.941
0.24,0.467,0.535,0.603,0.67,0.738,0.805,0.873,0.941
0.25,0.467,0.535,0.602,0.67,0.738,0.805,0.873,0.941
0.26,0.467,0.534,0.602,0.67,0.737,0.805,0.873,0.94
0.27,0.467,0.534,0.602,0.67,0.737,0.805,0.872,0.94
0.28,0.466,0.534,0.602,0.669,0.737,0.805,0.872,0.94
0.29,0.466,0.534,0.602,0.669,0.737,0.804,0.872,0.94
0.3,0.466,0.534,0.601,0.669,0.737,0.804,0.872,0.94
0.31,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.94
0.32,0.466,0.533,0.601,0.669,0.736,0.804,0.872,0.939
0.33,0.466,0.533,0.601,0.668,0.736,0.804,0.872,0.939
0.34,0.465,0.533,0.601,0.668,0.736,0.804,0.871,0.939
0.35,0.465,0.533,0.601,0.668,0.736,0.803,0.871,0.939
0.36,0.465,0.533,0.6,0.668,0.736,0.803,0.871,0.939
0.37,0.465,0.533,0.6,0.668,0.736,0.803,0.871,0.939
0.38,0.465,0.532,0.6,0.668,0.736,0.803,0.871,0.939
0.39,0.465,0.532,0.6,0.668,0.735,0.803,0.871,0.939
0.4,0.465,0.532,0.6,0.668,0.735,0.803,0.871,0.939
0.41,0.464,0.532,0.6,0.668,0.735,0.803,0.871,0.939
0.42,0.464,0.532,0.6,0.667,0.735,0.803,0.871,0.939
0.43,0.464,0.532,0.6,0.667,0.735,0.803,0.871,0.939
0.44,0.464,0.532,0.6,0.667,0.735,0.803,0.871,0.939
0.45,0.464,0.532,0.6,0.667,0.735,0.803,0.871,0.939
0.46,0.464,0.532,0.599,0.667,0.735,0.803,0.87,0.939
0.47,0.464,0.532,0.599,0.667,0.735,0.803,0.87,0.939
0.48,0.464,0.532,0.599,0.667,0.735,0.803,0.87,0.939
0.49,0.464,0.531,0.599,0.667,0.735,0.803,0.87,0.939
0.5,0.464,0.531,0.599,0.667,0.735,0.803,0.87,0.939
0.51,0.464,0.531,0.599,0.667,0.735,0.803,0.87,0.939
0.52,0.464,0.531,0.599,0.667,0.735,0.803,0.87,0.939
0.53,0.463,0.531,0.599,0.667,0.735,0.803,0.87,0.939
0.54,0.463,0.531,0.599,0.667,0.735,0.803,0.871,0.939
0.55,0.463,0.531,0.599,0.667,0.735,0.803,0.871,0.939
0.565,0.463,0.531,0.599,0.667,0.735,0.803,0.871,0.939
0.588,0.463,0.531,0.599,0.667,0.735,0.803,0.871,0.939
0.621,0.463,0.531,0.599,0.667,0.735,0.803,0.871,0.939
0.671,0.463,0.531,0.599,0.667,0.735,0.803,0.871,0.94
0.721,0.463,0.531,0.599,0.668,0.736,0.804,0.872,0.94
0.771,0.463,0.532,0.6,0.668,0.736,0.805,0.873,0.941
